Group,$g_0$,Computation Time,\# Unique Faces,Proportion
c3,0,113.4690260887146,2,0
c4,0,52.40028500556946,2,0
c2c2,0,46.722928047180176,1,0
c5,0,42.618799924850464,4,0
c3c2,0,43.605358839035034,4,0
c7,0,45.52398204803467,6,0
c8,0,46.987913846969604,8,0
c2c4,0,53.13983201980591,4,0
c2c2c2,0,49.45645880699158,1,0
c9,0,53.96787786483765,16,0
c3c3,0,61.444730043411255,16,0
c5c2,0,77.38423299789429,12,0
c11,0,89.26752090454102,22,0
c3c4,0,111.36871814727783,45,0
c3c2c2,0,114.7575089931488,14,0
c13,0,139.4421911239624,58,0
c7c2,0,164.73716616630554,47,0
c5c3,0,252.17269802093506,160,0
c16,0,200.8085548877716,129,0
c2c8,0,176.08807110786438,59,0
c4c4,0,175.78839707374573,150,0
c2c2c4,0,139.27620100975037,16,0
c2c2c2c2,0,82.33833694458008,1,0
c17,0,148.8685441017151,149,0
c9c2,0,152.80945801734924,191,0
c3c3c2,0,161.80365109443665,417,0
c19,0,286.0804691314697,202,0
c5c4,0,340.75312781333923,299,0
c5c2c2,0,196.02179098129272,114,0
c7c3,0,284.77901005744934,372,0
c11c2,0,283.3099000453949,286,0
c23,0,307.07579803466797,371,0
c3c8,0,346.05852913856506,497,0
c3c2c4,0,330.2100579738617,438,0
c3c2c2c2,0,285.76486015319824,121,0
c25,0,430.2849278450012,502,0
c5c5,0,389.9144730567932,825,0
c13c2,0,428.58572602272034,413,0
c27,0,509.6655788421631,541,0
c3c9,0,491.053838968277,715,0
c3c3c3,0,246.81685781478882,929,0
c7c4,0,469.86993384361267,546,0
c7c2c2,0,415.4968111515045,394,0
c29,0,750.6434168815613,528,0
